n	logs.Storm.topovi-abs-e3-g5shifted	logs.Storm.topoii-abs-e3-g5shifted	logs.Storm.ii-abs-e3-g5shifted	logs.Storm.topopi-abs-e3-g5shifted	logs.Storm.topopi-abs-einfshifted	logs.Storm.topoii-abs-e3-g01shifted	logs.Storm.topoii-abs-e3-g1shifted	logs.Storm.topoii-abs-e3-g25shifted	logs.Storm.topoii-abs-e3-g75shifted	logs.Storm.topoii-abs-e3-g9shifted	logs.Storm.topoii-abs-e3-g99shifted	logs.Storm.topoii-abs-e1-g5shifted	logs.Storm.topoii-abs-e2-g5shifted	logs.Storm.topoii-abs-e4-g5shifted	logs.Storm.topoii-abs-e5-g5shifted	logs.Storm.topoii-abs-e6-g5shifted	logs.mcsta.ii-rel-e3-g5shifted	logs.mcsta.vi-abs-e3-g5shifted	logs.mcsta.ii-abs-e3-g01shifted	logs.mcsta.ii-abs-e3-g1shifted	logs.mcsta.ii-abs-e3-g25shifted	logs.mcsta.ii-abs-e3-g5shifted	logs.mcsta.ii-abs-e3-g75shifted	logs.mcsta.ii-abs-e3-g9shifted	logs.mcsta.ii-abs-e3-g99shifted	logs.mcsta.ii-abs-e1-g5shifted	logs.mcsta.ii-abs-e2-g5shifted	logs.mcsta.ii-abs-e4-g5shifted	logs.mcsta.ii-abs-e5-g5shifted	logs.mcsta.ii-abs-e6-g5shifted	logs.Storm.bestshifted	logs.mcsta.bestshifted	selection-bestshifted	bestshifted
10	0.25	0.25	0.25	0.25	15.43108582496643	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.48845744132995605	0.46839165687561035	0.5152010917663574	0.5043985843658447	0.5070810317993164	0.4855153560638428	0.49506640434265137	0.5209105014801025	0.49576258659362793	0.4993443489074707	0.5264561176300049	0.506274938583374	0.5161190032958984	0.49570655822753906	0.25	0.44557785987854004		0.25
11	0.25	0.25	0.25	0.25	43.710432052612305	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.4947354793548584	0.4724082946777344	0.5308918952941895	0.5155210494995117	0.5108637809753418	0.4945862293243408	0.5020968914031982	0.5219097137451172	0.5014748573303223	0.5238583087921143	0.5433316230773926	0.5303175449371338	0.5311527252197266	0.5094614028930664	0.25	0.44614148139953613		0.25
12	0.25	0.25	0.25	0.25	70.20366978645325	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.5066134929656982	0.4792029857635498	0.5351355075836182	0.5176613330841064	0.5108845233917236	0.5068180561065674	0.5051774978637695	0.5220084190368652	0.5064289569854736	0.5357010364532471	0.5486154556274414	0.5347206592559814	0.5346314907073975	0.5290884971618652	0.25	0.44948554039001465		0.25
13	0.25	0.25	0.25	0.25	272.7285010814667	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.5302908420562744	0.4873509407043457	0.5539624691009521	0.5182580947875977	0.515873908996582	0.513547420501709	0.5055499076843262	0.5308125019073486	0.5125672817230225	0.5410199165344238	0.5605926513671875	0.5416791439056396	0.5392568111419678	0.5346395969390869	0.25	0.45095133781433105		0.25
14	0.25	0.25	0.25	0.25		0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.5315947532653809	0.4885594844818115	0.5561888217926025	0.5545713901519775	0.5178186893463135	0.5141758918762207	0.533668041229248	0.5369133949279785	0.5220675468444824	0.5480449199676514	0.5636701583862305	0.5506687164306641	0.5394723415374756	0.5360522270202637	0.25	0.45121002197265625		0.25
15	0.25	0.25	0.25	0.25		0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.5322027206420898	0.491058349609375	0.567166805267334	0.5846438407897949	0.5313906669616699	0.5184166431427002	0.5353696346282959	0.54571533203125	0.5325381755828857	0.5499064922332764	0.5845813751220703	0.5511918067932129	0.540691614151001	0.5370209217071533	0.25	0.45584893226623535		0.25
16	0.25	0.25	0.25	0.25		0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.5340728759765625	0.493457555770874	0.571286678314209	0.5862147808074951	0.5326852798461914	0.519014835357666	0.5450725555419922	0.5464518070220947	0.5445005893707275	0.5510497093200684	0.5934386253356934	0.5581302642822266	0.5579936504364014	0.5451304912567139	0.25	0.46173787117004395		0.25
17	0.25	0.25	0.25	0.25		0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.5447611808776855	0.5141375064849854	0.5723726749420166	0.593599796295166	0.5420269966125488	0.534015417098999	0.5522861480712891	0.5613980293273926	0.5618774890899658	0.5544559955596924	0.5973644256591797	0.568824291229248	0.5825259685516357	0.5481622219085693	0.25	0.46265363693237305		0.25
18	0.25	0.25	0.25	0.25		0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.5731632709503174	0.5160102844238281	0.5752167701721191	0.5963897705078125	0.5489239692687988	0.5536007881164551	0.5523092746734619	0.5621106624603271	0.5635077953338623	0.5561707019805908	0.6054351329803467	0.5916769504547119	0.5890724658966064	0.5761563777923584	0.25	0.4724082946777344		0.25
19	0.25	0.25	0.25	0.25		0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.5859155654907227	0.5193624496459961	0.5858197212219238	0.5999555587768555	0.5566885471343994	0.565448522567749	0.5592222213745117	0.5784728527069092	0.5655615329742432	0.5658550262451172	0.6095449924468994	0.5918052196502686	0.5911314487457275	0.576195240020752	0.25	0.4813563823699951		0.25
